Bank Name,TTM,Interest Income
HDFC,"1,277,599,700","956,966,800"
KOTAK,"591,822,614","296,147,390"
ICICI,"1,431,682,252","761,921,119"
AXIS,"676,445,100","467,045,300"
IDFC,"175,600,466","126,371,761"
SBI,"2,920,316,068","1,694,291,334"
PNB,"499,762,300","369,358,300"
BOB,"669,981,773","465,860,102"
CANARA,"589,554,287","348,672,021"
UNION,"515,984,261","344,209,776"
