Date,Tenure,HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
2023-07-20,211 days - less than 1 year,,,,,,5.75,,,,
2023-07-20,1 year - less than 2 year,,,,,,6.8,,,,
2023-07-20,2 years - less than 3 years,,,,,,7.0,,,,
2023-07-20,3 years - less than 5 years,,,,,,6.5,,,,
2023-07-20,5 years and up - 10 years,,,,,,6.5,,,,
2023-07-20,400 days ,,,,,,7.1,,,,
2023-07-20,7 - 14 days,,,,,,,3.5,,,
2023-07-20,15 - 29 days,,,,,,,3.5,,,
2023-07-20,30 - 45 days,,,,,,,3.5,,,
2023-07-20,46 - 90 days,,,,,,,4.5,,,
2023-07-20,91 - 179 days,,,,,,,4.5,,,
2023-07-20,180 - 270 days,,,,,,,5.5,,,
2023-07-20,271 days - less than 1 year,,,,,,,5.8,,,
2023-07-20,1 year,,,,,,,6.75,,,
2023-07-20,Above 1 year - 443 days,,,,,,,6.8,,,
2023-07-20,444 days,,,,,,,7.25,,,
2023-07-20,445 days - 2 years,,,,,,,6.8,,,
2023-07-20,Above 2 years - 3 years,,,,,,,7.0,,,
2023-07-20,Above 3 years - 5 years,,,,,,,6.5,,,
2023-07-20,Above 5 years - 10 years,,,,,,,6.5,,,
2023-07-20,7 days - 14 days,,,,,,,,3.0,,
2023-07-20,15 days - 45 days,,,,,,,,3.0,,
2023-07-20,46 days - 90 days,,,,,,,,4.5,,
2023-07-20,91 days - 180 days,,,,,,,,4.5,,
2023-07-20,181 days - 210 days,,,,,,,,5.25,,
2023-07-20,211 days - 270 days,,,,,,,,5.75,,
2023-07-20,271 days & above and less than 1 year,,,,,,,,5.75,,
2023-07-20,1 year,,,,,,,,6.75,,
2023-07-20,Above 1 year - 400 days,,,,,,,,6.75,,
2023-07-20,Above 400 days and up - 2 years,,,,,,,,6.75,,
2023-07-20,Above 2 years and up - 3 years,,,,,,,,7.05,,
2023-07-20,Above 3 years and up - 5 years,,,,,,,,6.5,,
2023-07-20,Above 5 years and up - 10 years,,,,,,,,6.5,,
2023-07-20,399 days ,,,,,,,,7.25,,
2023-07-20,7 days - 45 days*,,,,,,,,,4.0,
2023-07-20,46 days - 90 days,,,,,,,,,5.25,
