,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
88,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.25,4.05
89,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.25,4.05
90,4.5,4.5,4.75,4.5,4.5,4.5,4.5,5.25,4.05
91,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
92,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
93,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
94,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
95,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
96,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
97,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
98,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
99,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
100,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
101,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
102,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
103,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
104,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
105,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
106,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
107,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
108,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
109,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
110,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
111,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
112,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
113,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
114,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
115,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
116,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
117,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
118,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
119,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
120,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.3
121,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
122,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
123,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
124,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
125,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
126,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
127,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
128,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
129,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
130,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
131,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
132,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
133,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
134,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
135,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
136,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
137,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
138,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
139,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
140,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
141,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
142,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
143,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
144,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
145,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
146,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
147,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
148,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
149,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
150,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
151,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
152,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
153,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
154,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
155,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
156,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
157,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
158,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
159,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
160,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
161,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
162,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
163,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
164,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
165,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
166,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
167,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
168,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
169,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
170,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
171,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
172,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
173,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
174,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
175,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
176,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
177,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
178,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
179,4.5,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
180,4.5,4.75,5.75,5.0,5.25,5.5,4.5,6.25,4.4
181,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
182,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
183,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
184,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
185,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
186,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
187,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
